Media Url,Item Identifier
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0019.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0020.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0021.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0022.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0023.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0024.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0025.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0026.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0027.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0028.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0029.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0030.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0031.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0032.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0033.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0034.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0035.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0036.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0037.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0038.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0039.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
